="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lnfrac_black",="lnpopulation_black",="lnfracfarms_nonwhite",="lnvalue_equipment",="lntractors",="lnavfarmsize",="lnfarmland_a",="lnlandbuildingvaluef"
="f_dis_1930",="0.019",="0.003",="-0.025",="0.010",="0.045",="-0.022",="-0.015",="0.060"
="",="(0.023)",="(0.048)",="(0.036)",="(0.064)",="(0.140)",="(0.027)",="(0.028)",="(0.039)"
="f_dis_1935",="",="",="",="0.000",="0.000",="-0.029",="-0.014",="0.022"
="",="",="",="",="(.)",="(.)",="(0.030)",="(0.037)",="(0.050)"
="f_dis_1940",="0.035",="0.007",="-0.026",="-0.048",="0.260",="-0.060*",="-0.032",="0.047"
="",="(0.034)",="(0.057)",="(0.040)",="(0.066)",="(0.218)",="(0.030)",="(0.042)",="(0.046)"
="f_dis_1945",="",="",="",="0.000",="0.179",="-0.035",="-0.007",="0.102*"
="",="",="",="",="(.)",="(0.158)",="(0.040)",="(0.053)",="(0.051)"
="f_dis_1950",="0.075",="0.050",="0.008",="0.000",="0.000",="-0.078",="-0.048",="0.129*"
="",="(0.052)",="(0.081)",="(0.050)",="(.)",="(.)",="(0.053)",="(0.056)",="(0.056)"
="f_dis_1954",="",="",="",="0.000",="0.084",="-0.112",="-0.081",="0.114*"
="",="",="",="",="(.)",="(0.117)",="(0.057)",="(0.061)",="(0.053)"
="f_dis_1960",="0.101",="0.068",="0.000",="0.000",="0.000",="-0.105",="-0.130",="0.076"
="",="(0.064)",="(0.107)",="(.)",="(.)",="(.)",="(0.064)",="(0.073)",="(0.055)"
="f_dis_1964",="",="",="",="0.000",="0.000",="-0.070",="-0.116",="0.151**"
="",="",="",="",="(.)",="(.)",="(0.068)",="(0.082)",="(0.053)"
="f_dis_1970",="0.102",="0.077",="0.000",="-0.036",="0.046",="-0.001",="-0.111",="0.118**"
="",="(0.076)",="(0.127)",="(.)",="(0.084)",="(0.121)",="(0.064)",="(0.111)",="(0.042)"
="N",="752",="752",="564",="658",="564",="1222",="1222",="1222"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
