="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="lnfrac_black",="lnpopulation_black",="lnfracfarms_nonwhite",="lnvalue_equipment",="lntractors",="lnavfarmsize",="lnfarmland_a",="lnlandbuildingvaluef"
="r_close_1930",="0.009",="0.018",="0.034",="-0.045",="-0.071",="0.052*",="0.021",="-0.013"
="",="(0.013)",="(0.027)",="(0.021)",="(0.039)",="(0.067)",="(0.023)",="(0.016)",="(0.027)"
="r_close_1935",="",="",="",="0.000",="0.000",="0.014",="0.024",="0.002"
="",="",="",="",="(.)",="(.)",="(0.031)",="(0.018)",="(0.037)"
="r_close_1940",="0.025",="0.025",="0.042",="-0.092",="-0.087",="0.041",="0.029",="-0.015"
="",="(0.017)",="(0.033)",="(0.030)",="(0.059)",="(0.088)",="(0.031)",="(0.020)",="(0.037)"
="r_close_1945",="",="",="",="0.000",="-0.109",="0.065",="0.002",="-0.042"
="",="",="",="",="(.)",="(0.093)",="(0.037)",="(0.022)",="(0.041)"
="r_close_1950",="0.016",="0.007",="0.012",="0.000",="0.000",="0.055",="-0.008",="0.016"
="",="(0.024)",="(0.044)",="(0.035)",="(.)",="(.)",="(0.038)",="(0.026)",="(0.042)"
="r_close_1954",="",="",="",="0.000",="-0.238*",="0.043",="-0.006",="-0.028"
="",="",="",="",="(.)",="(0.112)",="(0.039)",="(0.031)",="(0.048)"
="r_close_1960",="-0.010",="0.002",="0.000",="0.000",="0.000",="0.056",="-0.011",="-0.042"
="",="(0.031)",="(0.061)",="(.)",="(.)",="(.)",="(0.044)",="(0.044)",="(0.047)"
="r_close_1964",="",="",="",="0.000",="0.000",="0.078",="-0.009",="-0.054"
="",="",="",="",="(.)",="(.)",="(0.048)",="(0.048)",="(0.046)"
="r_close_1970",="-0.016",="0.019",="0.000",="-0.190*",="-0.254*",="0.091",="-0.031",="-0.020"
="",="(0.038)",="(0.071)",="(.)",="(0.091)",="(0.119)",="(0.050)",="(0.061)",="(0.042)"
="N",="1458",="1458",="972",="1215",="1440",="2430",="2430",="2673"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01"
