state	county	wheat1_a	wheat1_y	wheat2_a	wheat2_y	oats_a	oats_y	rice_a	rice_y	corn_a	corn_y	cotton_a	cotton_y	scane_a	scane_y
6	0	114	2450	379	7586	37372	1222381	0	0	13108	497709	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0	0	0
															
11	10	36340	624762	0	0	418	9493	0	0	39382	1193326	0	0	0	0
11	30	29696	616799	0	0	1438	45439	0	0	22954	765844	0	0	0	0
11	50	14205	204884	0	0	153	2947	0	0	73716	1976890	0	0	0	0
11	0	80241	1446445	0	0	2009	57879	0	0	136052	3936060	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0	0	0
															
98	0	0	0	0	0	0	0	0	0	71	3890	0	0	0	0
															
															
12	10	0	0	0	0	0	0	0	0	2374	75121	0	0	0	0
12	30	51	1110	0	0	39	1335	0	0	124	3679	0	0	0	0
12	50	3412	73124	0	0	246	8604	0	0	21683	756897	0	0	0	0
12	70	193	3527	0	0	23	506	0	0	2601	92549	0	0	0	0
12	90	4	190	0	0	0	0	0	0	2766	83621	0	0	0	0
12	110	2198	55205	0	0	182	5739	0	0	11903	424328	0	0	0	0
12	130	31	665	0	0	15	200	0	0	69	2825	0	0	0	0
12	150	243	5155	0	0	10	150	0	0	10917	374584	0	0	0	0
12	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	190	14147	265405	0	0	15542	481278	0	0	21641	831623	0	0	0	0
12	210	4737	115803	0	0	2156	67613	0	0	9071	339569	0	0	0	0
12	230	2325	58405	0	0	393	11128	0	0	5756	230009	0	0	0	0
12	250	2572	69711	0	0	172	4144	0	0	13154	403422	0	0	0	0
12	270	748	14250	0	0	2574	83302	0	0	3011	130850	0	0	0	0
12	290	107	2281	0	0	0	0	0	0	2197	58162	0	0	0	0
12	310	2	54	0	0	10	230	0	0	143	6522	0	0	0	0
12	330	6324	150397	0	0	362	10157	0	0	19429	710773	0	0	0	0
12	350	6172	120669	0	0	5240	153121	0	0	9412	299980	0	0	0	0
12	370	731	13213	0	0	3671	113489	0	0	3089	143835	0	0	0	0
12	390	15	650	0	0	4	70	0	0	102	2651	0	0	0	0
12	410	7371	146145	0	0	11566	410430	0	0	12675	557846	0	0	0	0
12	0	51383	1095959	0	0	42205	1351496	0	0	152117	5528846	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0	0	0
															
13	10	564	5780	104	1124	9138	216173	0	0	2679	74738	0	0	0	0
13	30	1463	20455	209	2563	14635	268566	0	0	367	13052	0	0	0	0
13	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	70	98	1452	67	897	9115	268863	0	0	739	25566	0	0	0	0
13	90	495	7345	67	574	15471	322071	0	0	1016	26649	0	0	0	0
13	110	17569	354400	246	4638	16669	523532	0	0	9828	336970	0	0	0	0
13	130	978	16725	159	1824	17895	381427	0	0	4652	160078	0	0	0	0
13	150	1748	25074	138	1879	7520	180943	0	0	1480	52685	0	0	0	0
13	170	143	3262	42	682	8828	312197	0	0	980	54473	0	0	0	0
13	190	5	98	198	4626	11679	366704	0	0	482	15265	0	0	0	0
13	210	418	5223	32	363	7313	201477	0	0	5387	191040	0	0	0	0
13	230	142	3069	4	61	6526	230721	0	0	433	16453	0	0	0	0
13	250	128	2540	34	418	4859	160487	0	0	434	17898	0	0	0	0
13	270	1068	20674	28	298	7900	261775	0	0	4944	245197	0	0	0	0
13	290	12572	194588	384	4939	31041	666698	0	0	4865	144897	0	0	0	0
13	310	34	538	46	737	3745	88105	0	0	1118	33561	0	0	0	0
13	330	0	0	64	1015	11093	386012	0	0	651	21628	0	0	0	0
13	350	10	198	9	82	3970	115240	0	0	889	32170	0	0	0	0
13	370	18661	342231	201	4232	14405	354855	0	0	2905	100617	0	0	0	0
13	390	737	8909	54	423	2700	69992	0	0	3668	141946	0	0	0	0
13	410	0	0	0	0	22	730	0	0	6	195	0	0	0	0
13	430	177	2231	81	1558	8798	279581	0	0	1104	36432	0	0	0	0
13	450	33	420	541	7851	45557	1244350	0	0	724	25777	0	0	0	0
13	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	490	0	0	61	729	10932	332324	0	0	124	3686	0	0	0	0
13	510	19055	263213	200	1868	15226	367564	0	0	1902	66635	0	0	0	0
13	530	1881	42998	122	1992	9262	276668	0	0	1895	64939	0	0	0	0
13	550	27600	580933	208	4521	22265	705055	0	0	6894	201709	0	0	0	0
13	570	135	1167	256	3463	15174	423681	0	0	2247	80070	0	0	0	0
13	590	19	512	3	90	6	100	0	0	108	3493	0	0	0	0
13	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	630	24123	438599	279	5479	22018	574645	0	0	7969	211238	0	0	0	0
13	650	1037	21053	120	2401	11276	367478	0	0	2517	82313	0	0	0	0
13	670	9528	202804	373	5964	14628	448215	0	0	6910	214588	0	0	0	0
13	690	22620	417151	358	6089	16190	466410	0	0	7508	266515	0	0	0	0
13	710	663	13158	31	467	1247	36317	0	0	4729	230770	0	0	0	0
13	730	17069	348898	193	4281	11548	374746	0	0	4176	139795	0	0	0	0
13	750	654	11255	71	821	11605	342755	0	0	4457	141276	0	0	0	0
13	770	102	1741	114	1927	12554	423504	0	0	2260	85738	0	0	0	0
13	790	21	785	0	0	130	4631	0	0	170	5538	0	0	0	0
13	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	830	227	3288	43	596	8093	214641	0	0	5470	210031	0	0	0	0
13	850	0	0	0	0	0	0	0	0	30	1065	0	0	0	0
13	870	15	325	0	0	97	3135	0	0	188	6785	0	0	0	0
13	890	0	0	111	1525	38250	1161793	0	0	1311	37416	0	0	0	0
13	910	174	1786	13	125	7907	189597	0	0	3773	124519	0	0	0	0
13	930	106	1736	41	470	3527	87990	0	0	664	19326	0	0	0	0
13	950	762	12221	107	1733	9288	241318	0	0	970	41622	0	0	0	0
13	970	4363	52277	181	2889	4471	88391	0	0	2139	76068	0	0	0	0
