state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
12	330	34	1175	4	80	4	120	0	0	0	0	0	0
12	350	16908	702118	7745	192039	353	9635	0	0	0	0	0	0
12	370	7290	205994	6250	116745	3944	95788	0	0	0	0	0	0
12	390	2708	128719	886	16229	3403	94279	0	0	0	0	0	0
12	410	170	6977	72	1665	6	100	0	0	0	0	0	0
12	0	9297	501245	6989	108591	8385	208889	0	0	0	0	0	0
		130616	4978926	53579	1100937	32193	815609	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
13	10												
13	30	1122	28852	819	13299	5545	101062	0	0	0	0	0	0
13	50	250	8875	958	16081	16174	343889	0	0	0	0	0	0
13	70	0	0	0	0	0	0	0	0	0	0	0	0
13	90	398	16029	235	4531	7300	183255	0	0	0	0	0	0
13	110	244	7631	300	4537	15207	352074	0	0	0	0	0	0
13	130	7366	350486	14430	257246	14468	326255	0	0	0	0	0	0
13	150	1113	36675	964	14446	16888	360165	0	0	0	0	0	0
13	170	662	29136	1668	31331	6390	146405	0	0	0	0	0	0
13	190	466	22260	178	3928	7576	224502	0	0	0	0	0	0
13	210	586	21033	336	6120	11792	319633	0	0	0	0	0	0
13	230	4332	109038	447	7647	7196	139348	0	0	0	0	0	0
13	250	271	12381	132	3267	4912	147049	0	0	0	0	0	0
13	270	87	3740	35	619	4243	123982	0	0	0	0	0	0
13	290	4177	158503	867	15684	7049	193577	0	0	0	0	0	0
13	310	2605	76514	10638	132874	26998	446225	0	0	0	0	0	0
13	330	412	14714	60	1253	3285	73490	0	0	0	0	0	0
13	350	327	10051	74	1600	11181	353702	0	0	0	0	0	0
13	370	453	15140	30	412	3875	101818	0	0	0	0	0	0
13	390	1834	79170	21966	341088	10867	253271	0	0	0	0	0	0
13	410	1241	38479	449	7813	2340	53274	0	0	0	0	0	0
13	430	11	545	0	0	36	865	0	0	0	0	0	0
13	450	331	15255	153	3613	6282	172170	0	0	0	0	0	0
13	470	700	28788	745	10549	41204	886788	0	0	0	0	0	0
13	490	0	0	0	0	0	0	0	0	0	0	0	0
13	510	146	5156	147	2834	12577	379851	0	0	0	0	0	0
13	530	1633	62667	19336	311290	15288	323118	0	0	0	0	0	0
13	550	1137	52478	1364	28249	6988	182221	0	0	0	0	0	0
13	570	5465	224807	29744	488989	19431	408287	0	0	0	0	0	0
13	590	1167	42980	723	11159	10778	239230	0	0	0	0	0	0
13	610	246	7612	34	675	0	0	0	0	0	0	0	0
13	630	0	0	0	0	0	0	0	0	0	0	0	0
13	650	4140	137518	22237	267306	18518	469818	0	0	0	0	0	0
13	670	1394	65028	965	18782	10180	264221	0	0	0	0	0	0
13	690	5413	244556	7923	153292	12184	274961	0	0	0	0	0	0
13	710	5899	235359	22604	405721	14517	324503	0	0	0	0	0	0
13	730	2684	112966	742	13481	1053	29954	0	0	0	0	0	0
13	750	2722	103785	17777	247112	10431	246056	0	0	0	0	0	0
13	770	2393	95718	660	11089	8659	181607	0	0	0	0	0	0
13	790	1020	49098	166	3545	10651	306293	0	0	0	0	0	0
13	810	226	9802	26	703	139	6290	0	0	0	0	0	0
13	830	41	915	0	0	0	0	0	0	0	0	0	0
13	850	3827	99406	121	1977	7875	182059	0	0	0	0	0	0
13	870	11	210	0	0	0	0	0	0	0	0	0	0
13	890	173	8060	6	160	25	1017	0	0	0	0	0	0
13	910	498	14374	294	5867	31655	761357	0	0	0	0	0	0
13	930	3324	112070	206	3060	8108	195379	0	0	0	0	0	0
13	950	390	11195	166	2487	3101	63910	0	0	0	0	0	0
13	970	603	19501	789	15715	6685	154095	0	0	0	0	0	0
13	990	686	27046	2832	44492	4612	92281	0	0	0	0	0	0
13	1010	3831	154439	11569	176687	8495	200428	0	0	0	0	0	0
13	1030	1129	37719	4371	72832	33762	613434	0	0	0	0	0	0
13	1050	4053	185069	483	11220	230	6803	0	0	0	0	0	0
13	1070	559	27028	53	577	1880	55972	0	0	0	0	0	0
