state	id	area	state_1	id_1	new_area
43	12087.00000	2690213007.63000000000	43	12087.00000	119580.19359800000
43	12087.00000	2690213007.63000000000	43	12087.00000	12410.24550030000
43	12087.00000	2690213007.63000000000	43	12087.00000	79092.59659710000
43	12087.00000	2690213007.63000000000	43	12087.00000	151326.04618800000
43	12087.00000	2690213007.63000000000	43	12087.00000	229884.04441000000
43	12087.00000	2690213007.63000000000	43	12087.00000	51544.95700450000
43	12087.00000	2690213007.63000000000	43	12087.00000	317679.10883300000
43	12087.00000	2690213007.63000000000	43	12087.00000	188329.70852700000
43	12087.00000	2690213007.63000000000	43	12087.00000	85947.52265470000
43	12087.00000	2690213007.63000000000	43	12087.00000	5687.31799753000
43	12087.00000	2690213007.63000000000	43	12087.00000	89196.81366100000
43	12087.00000	2690213007.63000000000	43	12087.00000	5823.38878947000
43	12087.00000	2690213007.63000000000	43	12087.00000	57490.23927400000
43	12087.00000	2690213007.63000000000	43	12087.00000	68027.89377710000
43	12087.00000	2690213007.63000000000	43	12087.00000	190521.96348800000
43	12087.00000	2690213007.63000000000	43	12087.00000	821669.27082500000
43	12087.00000	2690213007.63000000000	43	12087.00000	5589.51274093000
43	12087.00000	2690213007.63000000000	43	12087.00000	186977.40370600000
43	12087.00000	2690213007.63000000000	43	12087.00000	133500.86433500000
43	12087.00000	2690213007.63000000000	43	12087.00000	44622.70285850000
43	12087.00000	2690213007.63000000000	43	12087.00000	38340.38574680000
43	12087.00000	2690213007.63000000000	43	12087.00000	771937.89371600000
43	12087.00000	2690213007.63000000000	43	12087.00000	177402.60346200000
43	12087.00000	2690213007.63000000000	43	12087.00000	13707.06443230000
43	12087.00000	2690213007.63000000000	43	12087.00000	4197.68802264000
43	12087.00000	2690213007.63000000000	43	12087.00000	15065.54918270000
43	12087.00000	2690213007.63000000000	43	12087.00000	17125.88020620000
43	12087.00000	2690213007.63000000000	43	12087.00000	5501.41207828000
43	12087.00000	2690213007.63000000000	43	12087.00000	7862.63747233000
43	12087.00000	2690213007.63000000000	43	12087.00000	527802.38495200000
43	12087.00000	2690213007.63000000000	43	12087.00000	6960.24840075000
43	12087.00000	2690213007.63000000000	43	12087.00000	15960.28069090000
43	12087.00000	2690213007.63000000000	43	12087.00000	5467.53204082000
43	12087.00000	2690213007.63000000000	43	12087.00000	44328.49716300000
43	12087.00000	2690213007.63000000000	43	12087.00000	202815.82305100000
43	12087.00000	2690213007.63000000000	43	12087.00000	5048140.63021000000
