state	county	corn_a	corn_y	oats_a	oats_y	wheat_a	wheat_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
12	310	119	5064	4	109	27	890	0	0	0	0	0	0
12	330	17692	635239	207	4222	5154	124939	0	0	0	0	0	0
12	350	7958	284753	4334	107076	6194	123020	0	0	0	0	0	0
12	370	1788	72547	2381	68408	490	10343	0	0	0	0	0	0
12	390	148	6425	5	140	65	885	0	0	0	0	0	0
12	410	11043	464977	9577	269138	5518	117159	0	0	0	0	0	0
12	0	123637	4475692	34228	914204	50521	1103347	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
13	10	1867	50094	6104	135141	766	14301	0	0	0	0	0	0
13	30	845	30356	20790	645958	1757	31980	0	0	0	0	0	0
13	50	0	0	0	0	0	0	0	0	0	0	0	0
13	70	731	23520	7118	146790	286	6221	0	0	0	0	0	0
13	90	1948	65430	20915	714330	879	18853	0	0	0	0	0	0
13	110	12103	472792	15108	535353	17532	459935	0	0	0	0	0	0
13	130	6751	233185	21611	744981	1192	25036	0	0	0	0	0	0
13	150	2237	78253	7954	187383	3179	67637	0	0	0	0	0	0
13	170	1532	61708	7833	251334	368	7921	0	0	0	0	0	0
13	190	730	26423	12110	393815	92	1998	0	0	0	0	0	0
13	210	5198	162657	7217	180127	423	7752	0	0	0	0	0	0
13	230	678	28560	6001	223196	257	8821	0	0	0	0	0	0
13	250	570	20503	3825	124522	26	661	0	0	0	0	0	0
13	270	4044	141444	7568	220211	699	15756	0	0	0	0	0	0
13	290	6864	242261	30931	1055309	13841	292817	0	0	0	0	0	0
13	310	777	23960	3253	94741	139	2114	0	0	0	0	0	0
13	330	807	25042	13048	506836	7	102	0	0	0	0	0	0
13	350	933	32130	3903	107989	33	803	0	0	0	0	0	0
13	370	4554	183251	14371	556594	22856	547192	0	0	0	0	0	0
13	390	1754	67829	1794	51093	709	15174	0	0	0	0	0	0
13	410	31	1061	25	821	0	0	0	0	0	0	0	0
13	430	1329	55849	8986	282280	167	2398	0	0	0	0	0	0
13	450	1825	64917	43217	1097389	270	3440	0	0	0	0	0	0
13	470	0	0	0	0	0	0	0	0	0	0	0	0
13	490	320	11130	12845	422757	49	1026	0	0	0	0	0	0
13	510	3344	130972	15197	546148	20324	469179	0	0	0	0	0	0
13	530	3449	130376	8752	290647	2715	71038	0	0	0	0	0	0
13	550	8388	348613	18985	769887	28593	739580	0	0	0	0	0	0
13	570	2017	70765	11837	299018	684	14102	0	0	0	0	0	0
13	590	151	4760	10	300	15	300	0	0	0	0	0	0
13	610	0	0	0	0	0	0	0	0	0	0	0	0
13	630	10692	402795	20015	560148	24102	564876	0	0	0	0	0	0
13	650	3396	128592	13423	512974	1654	43015	0	0	0	0	0	0
13	670	9177	333002	14611	508171	10413	293239	0	0	0	0	0	0
13	690	9129	363853	17184	692240	24934	648218	0	0	0	0	0	0
13	710	2493	89556	582	14881	430	8463	0	0	0	0	0	0
13	730	6752	252057	10148	380876	16801	442468	0	0	0	0	0	0
13	750	5261	195157	12827	416055	1110	27402	0	0	0	0	0	0
13	770	2588	99707	13150	426152	286	5686	0	0	0	0	0	0
13	790	206	7494	67	2073	58	1400	0	0	0	0	0	0
13	810	0	0	0	0	0	0	0	0	0	0	0	0
13	830	5315	181914	7185	213350	368	6267	0	0	0	0	0	0
13	850	23	470	0	0	0	0	0	0	0	0	0	0
13	870	81	3348	5	125	2	20	0	0	0	0	0	0
13	890	1441	47002	38611	1132687	63	954	0	0	0	0	0	0
13	910	3918	138478	7753	213274	152	2219	0	0	0	0	0	0
13	930	629	18088	3340	72249	264	3575	0	0	0	0	0	0
13	950	1171	39780	10511	283595	837	21114	0	0	0	0	0	0
13	970	2180	75034	5458	111915	4244	86909	0	0	0	0	0	0
13	990	5307	188010	10251	301904	13555	322516	0	0	0	0	0	0
13	1010	2914	95935	36523	798606	6914	138714	0	0	0	0	0	0
13	1030	1275	37480	358	9399	847	20277	0	0	0	0	0	0
13	1050	956	40516	1790	55627	38	723	0	0	0	0	0	0
13	1070	1564	51435	10665	193127	2061	42713	0	0	0	0	0	0
13	1090	3235	114126	7184	201274	6114	144454	0	0	0	0	0	0
13	1110	3565	124714	1598	37448	1034	20941	0	0	0	0	0	0
13	1130	409	12788	390	11800	0	0	0	0	0	0	0	0
13	1150	8032	296593	11640	321218	155	3000	0	0	0	0	0	0
13	1170	13129	485810	17048	638826	15600	386367	0	0	0	0	0	0
13	1190	330	14068	61	2262	89	2293	0	0	0	0	0	0
13	1210	1403	58574	15768	616881	8520	199757	0	0	0	0	0	0
13	1230	5265	175578	6780	176741	11892	280189	0	0	0	0	0	0
13	0	187613	6859795	626234	19490828	270395	6543906	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
14	10	35790	1402786	9115	235660	32890	612129	0	0	0	0	0	0
14	30	9052	351373	8097	262861	6069	126700	0	0	0	0	0	0
14	50	15998	692820	16124	489662	12629	231105	0	0	0	0	0	0
14	70	7857	289077	6952	229651	5960	126464	0	0	0	0	0	0
14	90	21683	877780	16016	454166	18282	328020	0	0	0	0	0	0
14	110	52227	1961333	31897	708768	44209	900405	0	0	0	0	0	0
14	130	11751	475595	9797	313854	9884	202279	0	0	0	0	0	0
14	150	5955	222541	26993	572475	5600	113476	0	0	0	0	0	0
14	170	32405	1296660	14518	405294	21334	495529	0	0	0	0	0	0
14	190	19724	837389	21563	755954	14304	298944	0	0	0	0	0	0
14	210	6807	231381	12119	432446	5195	109755	0	0	0	0	0	0
14	230	142	5647	144	4116	3	57	0	0	0	0	0	0
14	250	2819	84854	3098	75872	2605	48165	0	0	0	0	0	0
14	270	22193	902664	20785	632086	20818	373188	0	0	0	0	0	0
14	290	39104	1758890	12031	402908	22603	565336	0	0	0	0	0	0
14	310	12661	511645	18434	592007	11611	230966	0	0	0	0	0	0
14	330	8131	279213	12110	365402	4989	98975	0	0	0	0	0	0
14	350	6760	269907	5451	141913	5654	109438	0	0	0	0	0	0
14	370	18938	721401	15928	349359	18072	358842	0	0	0	0	0	0
14	390	20138	835604	30266	1146652	6493	137169	0	0	0	0	0	0
14	410	36781	1105754	13792	273494	35872	732075	0	0	0	0	0	0
14	430	22117	808038	15091	275227	18368	354428	0	0	0	0	0	0
14	450	3667	131504	776	24291	1528	39360	0	0	0	0	0	0
14	470	812	29207	2716	88423	257	5836	0	0	0	0	0	0
14	490	14173	571668	21814	809734	3637	81825	0	0	0	0	0	0
14	510	15345	568673	11258	363196	8873	173425	0	0	0	0	0	0
14	530	678	25323	1036	33590	365	7217	0	0	0	0	0	0
14	550	46281	1960957	3489	80455	61286	1170328	0	0	0	0	0	0
14	570	11604	503412	1962	46371	14788	220523	0	0	0	0	0	0
14	590	14270	549170	6214	162586	5498	80959	0	0	0	0	0	0
14	610	15459	606824	10181	282435	14041	235792	0	0	0	0	0	0
14	630	19350	793864	20296	609767	13490	246789	0	0	0	0	0	0
14	650	9709	366836	15416	479555	7357	143972	0	0	0	0	0	0
14	670	13311	567845	11070	298938	12553	241272	0	0	0	0	0	0
14	690	712	24902	3515	91228	86	1734	0	0	0	0	0	0
14	710	81959	4193150	8088	212496	76634	2003244	0	0	0	0	0	0
14	730	12923	538571	12815	445518	9511	198748	0	0	0	0	0	0
14	750	23775	880865	11207	237369	22549	507756	0	0	0	0	0	0
14	770	17640	543785	11031	262398	20128	400112	0	0	0	0	0	0
14	790	7229	265573	6592	130997	5422	105800	0	0	0	0	0	0
14	810	22475	943457	19835	520195	16592	322509	0	0	0	0	0	0
14	830	257	9417	3660	116824	39	660	0	0	0	0	0	0
14	850	21840	979130	24084	836890	9967	199694	0	0	0	0	0	0
14	870	12572	508949	9031	232695	12169	240391	0	0	0	0	0	0
14	890	4770	170333	4592	117576	3278	54443	0	0	0	0	0	0
14	910	21379	786610	6612	176468	14258	314130	0	0	0	0	0	0
14	930	8369	292253	7358	147797	8064	138780	0	0	0	0	0	0
14	950	20815	875974	14894	428626	17200	364419	0	0	0	0	0	0
14	970	19618	779810	16897	379134	19266	350586	0	0	0	0	0	0
14	990	18959	730835	14869	397544	17019	309638	0	0	0	0	0	0
14	1010	739	27783	176	2106	254	6471	0	0	0	0	0	0
14	1030	639	22910	533	14307	71	1067	0	0	0	0	0	0
14	1050	564	20034	9838	280355	153	3102	0	0	0	0	0	0
14	1070	12584	414692	11859	235024	13314	242481	0	0	0	0	0	0
14	1090	16120	648534	13721	333562	15509	253731	0	0	0	0	0	0
14	1110	14069	583056	31819	1116325	11198	237446	0	0	0	0	0	0
14	1130	1292	48538	3824	120883	291	5560	0	0	0	0	0	0
14	1150	1723	63801	12045	358098	532	10911	0	0	0	0	0	0
14	1170	2121	80417	25393	624863	1100	24319	0	0	0	0	0	0
14	1190	11764	512135	9803	245590	12838	252280	0	0	0	0	0	0
14	1210	6812	287017	9190	306861	3030	61812	0	0	0	0	0	0
14	1230	2444	100235	8177	287662	858	17611	0	0	0	0	0	0
14	1250	22492	868425	18588	628801	13409	255464	0	0	0	0	0	0
14	1270	1070	47211	4533	129348	64	1224	0	0	0	0	0	0
14	1290	25649	1012462	24660	798650	19695	391527	0	0	0	0	0	0
14	1310	1480	49317	5554	144012	734	14226	0	0	0	0	0	0
14	1330	74861	3229052	17173	438166	69174	1590375	0	0	0	0	0	0
14	0	1065407	43136868	808515	23197536	881523	18082994	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
21	10	76088	3468883	40911	1187674	48764	877154	0	0	0	0	0	0
21	30	20948	609935	250	5717	4566	80294	0	0	3058	3253	0	0
21	50	31363	1163850	14740	289896	21448	374560	0	0	0	0	0	0
21	70	34098	1900914	28820	752238	883	12135	0	0	0	0	0	0
21	90	27858	1302846	9289	258020	8930	143554	0	0	0	0	0	0
21	110	178919	10950064	84495	3033708	5673	122210	0	0	0	0	0	0
21	130	16501	872501	882	21693	9023	188898	0	0	0	0	0	0
21	150	53423	3204306	40201	1322969	543	11336	0	0	0	0	0	0
21	170	44367	2387284	11381	356848	26062	580911	0	0	0	0	0	0
21	190	201544	11232358	47438	1367523	17968	390663	0	0	0	0	0	0
21	210	99868	5113804	21283	555172	58779	1463939	0	0	0	0	0	0
21	230	59204	2365122	7219	110586	13773	212536	0	0	0	0	0	0
21	250	39671	1000966	9010	151503	3335	45192	0	0	0	0	0	0
21	270	39706	1504968	27843	685609	56573	1260803	0	0	0	0	0	0
21	290	81530	4218759	13194	355120	10218	218059	0	0	0	0	0	0
21	310	45356	1801375	28548	966333	3353	60806	0	0	0	0	0	0
21	330	48442	1727865	4722	76952	10780	171060	0	0	0	0	0	0
21	350	44938	1777045	6616	119347	3709	56162	0	0	0	0	0	0
21	370	121082	7661228	74717	3130265	1916	36406	0	0	0	0	0	0
