state	county	name	farms	facres	farmequi	horses	mules	tractors
49	3290	MIDLAND	361	577712	140905	2083	1096	18
49	3310	MILAM	5469	491852	1257933	3610	14723	114
49	3330	MILLS	1484	426512	518453	4053	1911	105
49	3350	MITCHELL	1481	551029	587103	3480	4378	64
49	3370	MONTAGUE	2360	507950	494052	4741	4289	37
49	3390	MONTGOMERY	1773	140428	262984	2054	1924	12
49	3410	MOORE	174	382806	520215	1203	261	183
49	3430	MORRIS	1572	109385	189511	1181	2424	11
49	3450	MOTLEY	910	581496	441212	2531	3158	39
49	3470	NACOGDOCHES	4486	334877	820721	2636	6254	17
49	3490	NAVARRO	6513	576358	1865956	4382	17886	169
49	3510	NEWTON	1102	64564	110315	870	740	5
49	3530	NOLAN	1154	421725	548804	3412	3087	84
49	3550	NUECES	1969	378905	2778123	1944	7656	942
49	3570	OCHILTREE	580	472934	2002822	1395	158	693
49	3590	OLDHAM	137	640987	427012	845	95	188
49	3610	ORANGE	389	66667	197715	855	287	29
49	3630	PALO PINTO	1269	629995	383432	3031	1860	69
49	3650	PANOLA	4656	302116	709452	2373	6170	19
49	3670	PARKER	2521	447778	608247	3663	3978	89
49	3690	PARMER	818	414059	1379359	2751	1736	452
49	3710	PECOS	385	2386064	415382	4921	639	62
49	3730	POLK	2300	153015	321844	1785	2906	41
49	3750	POTTER	322	580267	369046	1138	354	123
49	3770	PRESIDIO	532	957332	273965	1939	1224	16
49	3790	RAINS	1691	115980	272766	1745	2619	11
49	3810	RANDALL	843	649527	1741420	3123	912	546
49	3830	REAGAN	73	507392	58735	519	68	4
49	3850	REAL	253	411187	100472	728	209	6
49	3870	RED RIVER	5329	419402	800377	4700	10040	44
49	3890	REEVES	327	621118	149490	1052	512	24
49	3910	REFUGIO	507	374149	361507	1365	1636	158
49	3930	ROBERTS	158	631728	450505	984	190	136
49	3950	ROBERTSON	4065	342005	539939	3226	8752	24
49	3970	ROCKWALL	1031	83996	342882	541	2547	36
49	3990	RUNNELS	2544	595202	1571945	6367	5486	550
49	4010	RUSK	6426	442432	1091859	2987	10028	31
49	4030	SABINE	1458	90680	232707	844	1481	4
49	4050	SAN AUGUSTINE	1823	139615	262819	1221	2417	20
49	4070	SAN JACINTO	1515	74545	138409	1620	1584	11
49	4090	SAN PATRICIO	1626	367900	2035247	2014	5901	647
49	4110	SAN SABA	1424	654887	661271	4202	2652	110
49	4130	SCHLEICHER	300	741997	167460	1925	337	48
49	4150	SCURRY	1564	524957	674554	4696	3976	79
49	4170	SHACKELFORD	462	521955	232083	1574	890	67
49	4190	SHELBY	4908	301876	722789	2721	5588	42
49	4210	SHERMAN	298	520673	903391	1465	360	312
49	4230	SMITH	6907	446980	1045199	3515	9397	14
49	4250	SOMERVELL	456	84170	91318	795	894	7
49	4270	STARR	1349	245404	163383	2139	3262	13
49	4290	STEPHENS/BUCHANAN	765	487834	305843	2424	1157	110
49	4310	STERLING	136	581184	78440	1070	288	18
49	4330	STONEWALL	844	454777	318119	2912	2832	40
49	4350	SUTTON	154	869096	149000	2129	252	12
49	4370	SWISHER	1021	535006	1960646	3207	1324	729
49	4390	TARRANT	3366	434539	1424438	4373	6508	393
49	4410	TAYLOR	2233	529851	1008337	5886	5307	204
49	4430	TERRELL	141	1459847	128426	2856	218	2
49	4450	TERRY	1458	459192	583833	4624	3829	90
49	4470	THROCKMORTON	611	464059	284441	2096	1387	96
49	4490	TITUS	2487	193033	348496	2079	3629	16
49	4510	TOM GREEN	1234	692894	842241	3557	1075	394
49	4530	TRAVIS	3624	558872	1290386	3258	10933	212
49	4550	TRINITY	1569	143290	293831	1402	2136	27
49	4570	TYLER	998	80075	153250	940	862	16
49	4590	UPSHUR	4230	259080	504899	2046	5576	7
49	4610	UPTON	36	394337	17850	552	45	1
49	4630	UVALDE	761	915686	386192	2537	1507	95
49	4650	VAL VERDE	250	1897213	617438	4240	620	7
49	4670	VAN ZANDT	5201	442467	1132622	4450	9832	29
49	4690	VICTORIA	2142	795919	761135	4675	6130	166
49	4710	WALKER	2162	166615	275707	2120	3449	13
49	4730	WALLER	1463	196060	260141	2174	2837	32
49	4750	WARD	303	521148	115070	1270	548	12
49	4770	WASHINGTON	3930	327208	1123636	4954	7896	106
49	4790	WEBB	522	1320512	503180	2331	1924	63
49	4810	WHARTON	3965	483481	1827254	5756	9831	656
49	4830	WHEELER	1626	471891	850188	4630	4326	96
49	4850	WICHITA	1432	318682	820552	3066	2904	266
49	4870	WILBARGER	2139	560262	1229006	3933	6760	279
49	4890	WILLACY	814	259783	404469	1151	2006	207
49	4910	WILLIAMSON	4923	625292	2472273	4902	16374	343
49	4930	WILSON	2431	361458	692796	3776	6173	61
49	4950	WINKLER	28	325622	23600	296	39	0
49	4970	WISE	2534	452361	586035	4613	4367	139
49	4990	WOOD	3525	276443	536790	2632	4065	21
49	5010	YOAKUM	239	357544	96184	2136	722	0
49	5030	YOUNG	1520	483804	634698	3758	3371	144
49	5050	ZAPATA	338	288690	44594	696	1115	3
49	5070	ZAVALA	304	461581	377499	1005	611	109
51	0	KENTUCKY	246499	19927286	36546828	247955	252250	7322
51	10	ADAIR	2782	208733	221225	2072	2838	17
51	30	ALLEN	2809	196475	281151	1741	3648	93
51	50	ANDERSON	1408	117619	244850	2481	422	18
51	70	BALLARD	1394	114747	235953	1484	2591	58
51	90	BARREN	4260	290459	739593	2806	5446	174
51	110	BATH	1901	136436	261110	2529	1572	29
51	130	BELL	1302	59591	43661	443	731	1
51	150	BOONE	1563	149159	424138	2840	738	105
51	170	BOURBON	1896	184761	973638	4426	1372	167
51	190	BOYD	782	66146	161307	698	357	17
51	210	BOYLE	1251	97831	277918	1462	975	53
51	230	BRACKEN	1796	121638	418038	3165	294	13
51	250	BREATHITT	3118	235566	76420	891	2234	0
51	270	BRECKINRIDGE	2763	309139	357013	2825	3940	99
51	290	BULLITT	1229	138066	208562	1632	1339	87
51	310	BUTLER	2150	228517	202346	1719	3299	94
51	330	CALDWELL	1708	180695	188376	1679	2683	79
51	350	CALLOWAY	2990	215931	372207	2488	4072	45
51	370	CAMPBELL	1389	81152	429196	2250	449	62
51	390	CARLISLE	1153	99816	142223	1627	2103	41
51	410	CARROLL	1188	82514	255649	1913	522	38
51	430	CARTER	2394	195658	160639	1617	2024	24
51	450	CASEY	3205	215875	272264	2500	2703	25
51	470	CHRISTIAN	3215	367593	676633	2762	6389	236
51	490	CLARK	1578	145678	502224	2017	1642	63
51	510	CLAY	2815	207393	89340	856	2725	2
51	530	CLINTON	1554	103519	117984	764	1939	7
51	550	CRITTENDEN	1665	196473	205711	2212	2543	58
51	570	CUMBERLAND	1892	161717	157859	1018	2532	22
51	590	DAVIESS	3728	245053	664230	4104	5167	221
51	610	EDMONSON	2041	176316	167125	1144	2028	29
51	630	ELLIOTT	1324	145967	73562	1041	1257	1
51	650	ESTILL	1804	121853	126189	1233	1362	5
51	670	FAYETTE	1704	166722	1142071	7205	1829	184
51	690	FLEMING	2642	200761	398030	4272	957	36
51	710	FLOYD	2773	165328	95661	1403	2010	5
51	730	FRANKLIN	1598	123245	331381	2869	662	53
51	750	FULTON	1197	91233	264799	1002	2580	68
51	770	GALLATIN	866	58102	113696	1103	406	19
51	790	GARRARD	2188	129320	391136	2379	1784	26
51	810	GRANT	1941	158473	420284	3106	616	20
51	830	GRAVES	4638	308329	579001	4287	5988	140
51	850	GRAYSON	2864	268738	233369	2977	3417	60
51	870	GREEN	2761	159268	226224	1541	2899	23
51	890	GREENUP	2133	184548	184537	1233	1674	31
51	910	HANCOCK	1075	90765	175741	1277	1171	54
51	930	HARDIN	2752	315135	452497	4109	3380	109
51	950	HARLAN	786	58088	42271	227	423	1
51	970	HARRISON	2614	199796	546081	4271	526	47
51	990	HART	3075	229254	349208	2156	3731	32
51	1010	HENDERSON	2625	243558	610188	2855	5907	253
51	1030	HENRY	2186	175991	493378	4200	1103	47
51	1050	HICKMAN	1434	123655	202630	1729	2672	51
51	1070	HOPKINS	2653	220043	392182	2958	3649	137
51	1090	JACKSON	1865	126705	79686	952	1809	0
51	1110	JEFFERSON	2616	160319	1114747	2432	2660	479
51	1130	JESSAMINE	1315	97035	406796	2108	1243	63
51	1150	JOHNSON	2281	142529	96666	1178	1584	1
51	1170	KENTON	1290	81161	400676	1756	350	63
51	1190	KNOTT	1951	152719	49419	549	1514	2
51	1210	KNOX	2850	155203	137024	761	2612	4
51	1230	LARUE	1531	144979	301040	2199	1718	60
51	1250	LAUREL	2892	162313	253972	1313	2569	6
51	1270	LAWRENCE	2409	223480	197847	1909	1465	7
51	1290	LEE	1288	78198	61192	724	822	1
51	1310	LESLIE	1627	131560	44069	301	1257	0
51	1330	LETCHER	1674	109812	64808	479	1109	1
51	1350	LEWIS	2196	229264	242122	2354	1190	21
51	1370	LINCOLN	2692	200630	384632	3142	2100	77
51	1390	LIVINGSTON	1339	178770	168546	1864	2658	41
51	1410	LOGAN	3379	309324	666819	2865	5956	214
51	1430	LYON	1210	121336	136550	988	1937	49
51	1450	MCCRACKEN	1979	120435	286659	1685	2098	106
51	1470	MCCREARY	1058	59989	44472	403	474	0
51	1490	MCLEAN	1576	132838	288970	2096	2471	132
51	1510	MADISON	3814	252515	621115	4271	3605	60
51	1530	MAGOFFIN	2427	169135	116554	1653	2454	1
51	1550	MARION	1946	181217	310383	3079	1965	47
51	1570	MARSHALL	2417	170216	243273	1923	3012	41
51	1590	MARTIN	993	75243	31404	391	432	0
51	1610	MASON	1548	138279	562581	3331	610	79
51	1630	MEADE	1236	156860	206654	1980	1551	79
51	1650	MENIFEE	879	93174	55103	647	614	0
51	1670	MERCER	1850	154738	483812	3195	1006	59
51	1690	METCALFE	2154	160028	263024	1261	2688	32
51	1710	MONROE	2399	186914	218134	1574	2933	31
51	1730	MONTGOMERY	1261	100466	313563	1671	1071	45
51	1750	MORGAN	2633	209463	145264	1748	2087	3
51	1770	MUHLENBERG	2469	193010	279530	1828	3137	98
51	1790	NELSON	2081	225014	494892	3164	2505	119
51	1810	NICHOLAS	1871	117657	348331	2974	433	28
51	1830	OHIO	3191	275434	424183	3556	4285	104
51	1850	OLDHAM	783	108831	383679	1614	1012	151
51	1870	OWEN	2263	205895	418394	4022	710	37
51	1890	OWSLEY	1351	107400	47301	610	1219	0
51	1910	PENDLETON	2013	167731	481243	3899	294	61
51	1930	PERRY	2087	135491	72494	487	1321	1
51	1950	PIKE	4205	326015	201991	1741	2824	4
51	1970	POWELL	848	83104	56554	644	662	10
51	1990	PULASKI	4731	301580	386510	3238	5180	52
51	2010	ROBERTSON	826	60952	130246	1452	74	13
51	2030	ROCKCASTLE	2125	159381	184785	1402	2038	6
51	2050	ROWAN	1261	130311	93341	762	940	8
51	2070	RUSSELL	2059	150831	172489	1284	2371	32
51	2090	SCOTT	1890	157243	555642	3659	822	65
51	2110	SHELBY	2337	228302	829396	3819	2490	154
51	2130	SIMPSON	1797	148628	370556	1846	3208	128
51	2150	SPENCER	1208	117345	310206	2056	1222	43
51	2170	TAYLOR	2021	140907	301482	1837	2121	62
51	2190	TODD	2199	203491	306509	1622	3998	113
51	2210	TRIGG	2050	222770	267269	1421	4063	99
51	2230	TRIMBLE	1249	87387	278894	2338	399	61
51	2250	UNION	1342	181129	502214	2117	3461	228
51	2270	WARREN	3683	307120	705672	3050	5019	195
51	2290	WASHINGTON	2282	179902	402491	3508	1670	39
51	2310	WAYNE	2355	239947	213650	1121	2851	36
51	2330	WEBSTER	1927	171043	240649	2531	2779	118
51	2350	WHITLEY	2148	132975	109948	666	2224	4
51	2370	WOLFE	1348	115063	68942	972	900	2
51	2390	WOODFORD	1372	110112	537070	2335	1074	68
52	0	MARYLAND	43203	4374398	25682263	94099	29051	7208
52	10	ALLEGANY	1020	139322	337718	1266	141	110
52	30	ANNE ARUNDEL	1555	138315	922010	2645	825	211
52	50	BALTIMORE	3413	249744	2791722	6030	2311	742
52	70	CALVERT	1103	111639	359432	2084	64	114
52	90	CAROLINE	1922	167521	913971	3530	2015	250
52	110	CARROLL	3149	259360	1852332	7843	2170	499
52	130	CECIL	1424	175229	988971	4565	393	358
52	150	CHARLES	1592	205011	571530	3067	571	247
52	170	DORCHESTER	1598	172249	1086228	2324	2187	356
52	190	FREDERICK	3434	350343	2324025	11921	488	523
52	210	GARRETT	1839	241248	785477	3369	116	227
52	230	HARFORD	2260	212363	1723852	4013	1693	553
52	250	HOWARD	1098	128837	886216	3107	345	217
52	270	KENT	971	159460	826075	4940	727	265
52	290	MONTGOMERY	1971	238728	1395396	5702	174	419
52	310	PRINCE GEORGES	2291	207459	1078401	4508	574	373
52	330	QUEEN ANNES	1464	209415	1038221	4501	3065	247
52	350	SOMERSET	1561	117573	826502	1539	1788	278
52	370	ST MARYS	1392	167547	678645	2859	377	200
52	390	TALBOT	1113	152574	1059465	2922	2439	379
52	410	WASHINGTON	2552	230849	1467522	7681	364	313
52	430	WICOMICO	2193	147783	785712	1756	2916	154
52	450	WORCESTER	2190	188422	884840	1881	3287	155
52	5100	BALTIMORE CITY	98	3407	98000	46	21	18
53	0	OKLAHOMA	203866	33790817	92857906	505620	315353	25962
53	10	ADAIR	1779	136746	200326	2713	2104	21
53	30	ALFALFA	2328	519596	2876102	7627	1560	1269
53	50	ATOKA	1860	271441	201664	4271	3470	21
53	70	BEAVER	2047	1045528	3136783	9989	1710	1178
53	90	BECKHAM	3258	502045	1726716	9040	5975	267
53	110	BLAINE	2567	538416	1943632	9983	3183	723
53	130	BRYAN	3767	427192	640929	5584	8769	92
53	150	CADDO	5961	772110	2767170	14859	9728	543
53	170	CANADIAN	2961	533084	2158774	11071	3797	799
53	190	CARTER	2195	297641	508006	4078	4071	47
53	210	CHEROKEE	2429	209078	273881	4612	3177	18
53	230	CHOCTAW	3159	266713	467280	4019	5910	18
53	250	CIMARRON	887	1067542	1661291	4290	436	614
53	270	CLEVELAND	2011	280713	761876	4428	3029	151
53	290	COAL	1414	225093	275357	3473	2483	34
53	310	COMANCHE	2913	568241	1554957	10384	4088	408
53	330	COTTON	2045	381238	1223597	6047	3777	393
53	350	CRAIG	2219	387938	537817	7647	3580	141
