state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
32	0	5464915	118823671	9716922	151553396	1250923	28826155	0	0	832	156	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
33	10	312	7064	239	5110	8234	295458	0	0	0	0	0	0
33	30	14443	354889	1090	20539	12308	445153	0	0	0	0	0	0
33	50	2939	70078	19645	431445	51723	1910085	0	0	0	0	0	0
33	70	814	34000	567	9282	9821	289076	0	0	0	0	0	0
33	90	5039	98791	4576	93666	25890	1180877	0	0	0	0	0	0
33	110	36247	1173739	51232	1167361	42338	1944317	0	0	0	0	0	0
33	130	95389	3183281	31838	941028	70475	3379169	0	0	0	0	0	0
33	150	71108	2185568	25378	642626	63374	2833368	0	0	0	0	0	0
33	170	5	205	340	6795	7246	305256	0	0	0	0	0	0
33	190	26180	1130622	16437	448029	24040	1240096	0	0	0	0	0	0
33	210	1852	30905	519	9625	12055	373659	0	0	0	0	0	0
33	230	67917	2146100	25453	631580	86863	4077077	0	0	0	0	0	0
33	250	6014	137488	4366	126545	24471	1183992	0	0	0	0	0	0
33	270	5302	131833	65134	1360246	96200	3411765	0	0	0	0	0	0
33	290	50	1331	3348	74252	13219	436076	0	0	0	0	0	0
33	310	0	0	3	40	64	2069	0	0	0	0	0	0
33	330	87037	1904609	4827	111628	95469	4238790	0	0	0	0	0	0
33	350	2584	51420	694	14166	13495	470113	0	0	0	0	0	0
33	370	22921	505296	17127	389883	49922	1561364	0	0	0	0	0	0
33	390	9400	173378	2545	61842	45470	1933106	0	0	0	0	0	0
33	410	9540	288595	32527	755561	40808	1732636	0	0	0	0	0	0
33	430	91391	2171054	10512	292611	99421	4884685	0	0	0	0	0	0
33	450	29295	623124	3998	94108	92913	3543531	0	0	0	0	0	0
33	470	57762	1580930	6396	180363	80239	3747247	0	0	0	0	0	0
33	490	23300	626760	16913	367971	57877	2303344	0	0	0	0	0	0
33	510	19889	547990	21470	440458	48695	2130259	0	0	0	0	0	0
33	530	21242	637496	6925	204079	20412	830621	0	0	0	0	0	0
33	550	15555	351638	3930	96325	40478	1319001	0	0	0	0	0	0
33	570	807	12821	2657	37863	18214	449705	0	0	0	0	0	0
33	590	8163	159146	4027	105986	25664	1147842	0	0	0	0	0	0
33	610	37	592	248	5700	4130	156864	0	0	0	0	0	0
33	630	98161	2110090	1475	40960	101949	3895518	0	0	0	0	0	0
33	650	505	13287	355	11487	12274	600864	0	0	0	0	0	0
33	670	48507	1326323	26719	630028	77179	3388262	0	0	0	0	0	0
33	690	12	400	49533	812817	50056	1531171	0	0	0	0	0	0
33	710	7	140	281	6548	3588	140042	0	0	0	0	0	0
33	730	84455	2217092	55691	1198811	90010	4259402	0	0	0	0	0	0
33	750	0	0	46	1094	538	21462	0	0	0	0	0	0
33	770	26	260	435	8078	3044	96253	0	0	0	0	0	0
33	790	48654	1772920	41722	1056841	19508	894987	0	0	0	0	0	0
33	810	49795	946378	2494	47880	76760	3720461	0	0	0	0	0	0
33	830	100293	2836880	12092	283748	107289	5170755	0	0	0	0	0	0
33	850	31603	995319	22624	582771	42806	2280133	0	0	0	0	0	0
33	870	109	2447	7271	129284	19845	527543	0	0	0	0	0	0
33	890	46	1366	85978	1656366	83636	2526527	0	0	0	0	0	0
33	910	111693	2974806	1469	53740	115128	5508013	0	0	0	0	0	0
33	930	30805	881715	29235	676168	50551	2090867	0	0	0	0	0	0
33	950	1325	24800	577	18141	12512	720855	0	0	0	0	0	0
33	970	12398	249125	15384	343376	44259	1758946	0	0	0	0	0	0
33	990	22935	417936	1657	45725	102330	4302031	0	0	0	0	0	0
33	1010	89981	1783134	622	17605	109508	4901250	0	0	0	0	0	0
33	1030	41407	1366665	27126	613303	31155	1325874	0	0	0	0	0	0
33	1050	108349	2354016	899	33616	121180	4822410	0	0	0	0	0	0
33	1070	3011	59117	54271	1033135	81630	2467990	0	0	0	0	0	0
33	1090	13810	312115	6388	167849	62040	2413066	0	0	0	0	0	0
33	1110	28919	769290	83339	1717126	135753	5298520	0	0	0	0	0	0
33	1130	202	1561	7858	145587	31788	966454	0	0	0	0	0	0
33	1150	1708	38961	1469	35949	20604	918251	0	0	0	0	0	0
33	1170	52389	1127705	596	21386	74228	3180873	0	0	0	0	0	0
33	1190	3127	41525	146143	2955896	126686	4172752	0	0	0	0	0	0
33	1210	17481	472922	29217	631934	64750	2547914	0	0	0	0	0	0
33	1230	1990	53451	746	19386	3977	144358	0	0	0	0	0	0
33	1250	185	4447	9050	191675	33705	999129	0	0	0	0	0	0
33	1270	118294	3346055	27325	618042	123688	6005480	0	0	0	0	0	0
33	1290	96695	2901512	45736	1047596	119014	5521812	0	0	0	0	0	0
33	1310	30750	951849	22645	533268	35504	1392371	0	0	0	0	0	0
33	1330	76401	1705719	155	2418	80183	3198997	0	0	0	0	0	0
33	1350	96	2390	14806	238956	30081	882817	0	0	0	0	0	0
33	1370	7	225	1283	31506	11336	471993	0	0	0	0	0	0
33	1390	22086	687180	21190	490925	18022	717544	0	0	0	0	0	0
33	1410	15410	286828	2481	48536	23770	706640	0	0	0	0	0	0
33	1430	48688	1476879	33214	766831	46727	2143541	0	0	0	0	0	0
33	1450	40670	911487	48816	1153927	105523	4395943	0	0	0	0	0	0
33	1470	25762	583568	11068	323660	42760	2088386	0	0	0	0	0	0
33	1490	39764	1173220	33233	747292	65554	2915097	0	0	0	0	0	0
33	1510	56541	1533244	29429	592515	97988	4291952	0	0	0	0	0	0
33	1530	16749	408254	12444	272563	52802	2258881	0	0	0	0	0	0
33	1550	40600	1212598	52263	1197573	55839	2373300	0	0	0	0	0	0
33	1570	18605	475778	8354	189734	39889	1514760	0	0	0	0	0	0
33	1590	2458	49036	1975	34348	20448	596917	0	0	0	0	0	0
33	1610	35549	1021949	20965	560773	37296	1657929	0	0	0	0	0	0
33	1630	7698	207430	7631	173469	32155	1143261	0	0	0	0	0	0
33	1650	57104	1523186	2859	91068	57675	2400218	0	0	0	0	0	0
33	1670	18477	443632	55803	1066268	70617	2698285	0	0	0	0	0	0
33	1690	20613	411307	10375	261605	46666	1773146	0	0	0	0	0	0
33	1710	37948	1054754	25764	666124	40828	1813151	0	0	0	0	0	0
33	1730	94302	2570671	46145	1089501	100502	4759741	0	0	0	0	0	0
33	0	2657689	70415687	1643682	36513521	4546661	189071696	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
34	10	49718	1055501	807	11411	12056	279208	0	0	0	0	0	0
34	30	68453	1565420	7092	126670	10201	246807	0	0	0	0	0	0
34	50	130252	3259888	9051	184925	9419	234214	0	0	0	0	0	0
34	70	111388	2417885	15958	175105	44236	1020370	0	0	0	0	0	0
34	90	34383	896002	17115	176716	11961	207503	0	0	28	4	0	0
34	110	77233	1509319	18783	168060	26528	394520	0	0	0	0	0	0
34	130	119224	2414413	8409	66567	27620	462444	0	0	0	0	0	0
34	150	39350	899204	7553	82884	9409	185588	0	0	0	0	0	0
34	170	28712	699323	5441	45371	3263	54152	0	0	621	99	0	0
34	190	69129	1652273	14607	201640	6628	115880	0	0	0	0	0	0
34	210	49326	1384119	28676	552216	7681	173204	0	0	0	0	0	0
34	230	30671	694386	1424	15550	590	10864	0	0	19216	7828	0	0
34	250	63311	1139300	2723	47504	22296	451194	0	0	0	0	0	0
34	270	66036	1222234	17899	261675	10457	166808	0	0	0	0	0	0
34	290	19929	411832	1169	9249	342	5669	0	0	0	0	0	0
34	310	44005	1411297	15054	171883	6001	136887	0	0	1258	445	0	0
34	330	89408	2049249	34068	579939	25424	558058	0	0	0	0	0	0
34	350	6517	163332	427	3742	403	7841	0	0	185	37	0	0
34	370	98433	2861756	5260	64327	21177	451720	0	0	0	0	0	0
34	390	41523	839851	6203	59024	9815	169242	0	0	0	0	0	0
34	410	101651	2533029	36370	659130	17682	400254	0	0	0	0	0	0
34	430	35434	1010288	13618	204316	13085	297369	0	0	29	11	0	0
34	450	52713	1329192	9960	181905	17845	475625	0	0	0	0	0	0
34	470	47557	1311894	6279	108133	7189	175447	0	0	0	0	0	0
34	490	80978	2196544	2919	45936	14887	374842	0	0	0	0	0	0
34	510	19300	491773	20219	266602	4883	74117	0	0	0	0	0	0
34	530	57349	1528316	33478	406622	12394	176497	0	0	0	0	0	0
34	550	15822	375175	3261	24960	1905	29019	0	0	0	0	0	0
34	570	48212	1164490	17012	163422	21648	355043	0	0	0	0	0	0
34	590	32833	656057	2845	23584	4560	63564	0	0	0	0	0	0
34	610	63813	1023877	12605	183701	18022	384354	0	0	0	0	0	0
34	630	66064	1063925	5346	78459	16605	340488	0	0	0	0	0	0
34	650	15807	322544	1728	12218	931	12106	0	0	0	0	0	0
34	670	27473	602756	3153	19175	2665	47500	0	0	0	0	0	0
34	690	52408	1275318	1817	26511	439	12056	0	0	93448	50336	0	0
34	710	43930	1002257	42583	491382	4427	75576	0	0	0	0	0	0
34	730	15045	305458	24567	255727	3867	60422	0	0	0	0	0	0
34	750	64256	969314	3316	46967	12442	259404	0	0	0	0	0	0
34	770	52196	1535904	17580	207147	19209	442341	0	0	0	0	0	0
34	790	46801	781984	4336	55377	10031	188589	0	0	0	0	0	0
34	810	91385	1687360	4723	71267	24017	582520	0	0	0	0	0	0
34	830	92660	2005465	8585	69035	29476	537036	0	0	0	0	0	0
34	850	19925	397983	4904	43532	7822	109294	0	0	0	0	0	0
34	870	84853	2424431	16579	393312	8348	204557	0	0	0	0	0	0
34	890	40760	1332365	18842	297719	4447	95068	0	0	0	0	0	0
34	910	27988	602395	4268	38470	1982	33875	0	0	4013	1312	0	0
34	930	6450	141514	755	5137	644	12833	0	0	0	0	0	0
34	950	48797	1434793	8432	140903	8595	193863	0	0	0	0	0	0
34	970	49016	1127502	50754	528380	27919	543562	0	0	0	0	0	0
34	990	20690	578944	9027	92479	3194	58434	0	0	0	0	0	0
34	1010	94986	2385416	11084	127118	25007	538400	0	0	0	0	0	0
34	1030	62363	1402889	2865	44574	18628	437656	0	0	0	0	0	0
34	1050	39970	952900	6276	47138	4774	72211	0	0	0	0	0	0
34	1070	78462	2347945	42281	729850	13827	301137	0	0	0	0	0	0
34	1090	41093	1013743	37610	433078	19382	400221	0	0	0	0	0	0
34	1110	53704	1422275	16198	242575	18150	509385	0	0	0	0	0	0
34	1130	43975	1017351	29588	250626	11797	271241	790	38420	0	0	0	0
34	1150	65244	1373095	3173	40072	9622	198553	0	0	0	0	0	0
34	1170	45639	907493	12032	176859	13829	297464	0	0	0	0	0	0
34	1190	22088	573404	4349	49338	5735	131544	0	0	0	0	0	0
34	1210	80997	1748470	4551	76911	17942	428620	0	0	0	0	0	0
34	1230	10254	258684	2650	25890	1322	25291	0	0	9	3	0	0
34	1250	22127	427700	7984	65463	4060	55694	0	0	0	0	0	0
34	1270	36432	1014137	20786	347408	10718	292862	0	0	0	0	0	0
34	1290	51959	875167	4406	59149	11167	250525	0	0	0	0	0	0
34	1310	24288	535186	13649	143961	4286	63698	0	0	0	0	0	0
34	1330	43070	1201182	13702	201664	163	5540	0	0	54428	13978	0	0
34	1350	36853	933405	27108	311915	12544	201588	0	0	0	0	0	0
34	1370	92678	2229289	10876	171984	20516	536223	0	0	0	0	0	0
34	1390	40013	699034	22246	231206	17433	358745	0	0	0	0	0	0
34	1410	21259	479615	15266	163390	8363	140425	0	0	0	0	0	0
34	1430	69444	1899496	6704	96805	410	9121	0	0	90114	30520	0	0
34	1450	34049	824948	29685	310520	19744	373955	0	0	0	0	0	0
34	1470	165407	3412319	17049	354989	25960	707971	0	0	0	0	0	0
34	1490	18978	464707	3314	25400	1910	32562	0	0	4796	1544	0	0
34	1510	22761	634550	27478	326977	4114	56568	0	0	0	0	0	0
34	1530	18807	356173	2955	16880	1173	14573	0	0	4555	1271	0	0
34	1550	28866	821029	151	3500	76	2400	0	0	83412	46301	0	0
34	1570	30636	1088422	24951	300474	7046	173328	0	0	154	54	0	0
34	1590	95087	2337777	15768	162201	18953	330821	0	0	0	0	0	0
34	1610	19016	390856	5932	45401	2660	41325	0	0	0	0	0	0
34	1630	68737	1708893	25475	310070	13142	290973	0	0	0	0	0	0
34	1650	47058	1540800	40780	816002	8731	234269	0	0	0	0	0	0
34	1670	53175	1142586	11117	102523	17352	263741	0	0	0	0	0	0
34	1690	18546	471699	868	7883	293	4387	0	0	0	0	0	0
34	1710	43884	906571	1230	19263	11876	252551	0	0	0	0	0	0
34	1730	46831	1280383	16666	236783	13838	372818	0	0	0	0	0	0
34	1750	51164	1192176	3867	54116	10554	246620	0	0	0	0	0	0
34	1770	80316	1912109	15711	298254	14470	305622	0	0	0	0	0	0
34	1790	13064	304898	487	5209	428	7532	0	0	35	3	0	0
34	1810	16386	345685	423	2676	287	3896	0	0	9884	3443	0	0
34	1830	31912	783646	58387	860202	5131	103076	0	0	0	0	0	0
34	1850	56803	1077311	5497	45976	12441	174327	0	0	0	0	0	0
34	1930	15899	526796	10737	95325	4985	112525	0	0	0	0	0	0
34	1870	10023	226021	4231	35573	2327	45274	0	0	0	0	0	0
34	1890	16284	462194	32481	453694	1977	38706	0	0	0	0	0	0
34	5100	79	2100	0	0	0	0	0	0	0	0	0	0
34	1950	96018	2586606	44039	664972	9435	195154	0	0	0	0	0	0
34	1970	24195	550723	1238	22086	7644	168366	0	0	0	0	0	0
34	1990	42605	829012	1129	18631	17142	380465	0	0	0	0	0	0
34	2010	44711	1311086	23660	366512	699	18393	0	0	53987	18792	0	0
34	2030	17640	372051	522	3415	663	10067	0	0	0	0	0	0
34	2050	61237	1502216	8444	143574	21251	568345	0	0	0	0	0	0
34	2070	75530	1926933	18114	214601	2992	67863	727	22000	51328	17637	0	0
34	2090	18589	513743	2865	33696	4009	100602	0	0	104	28	0	0
34	2110	64853	1485831	1117	15394	9309	201900	0	0	0	0	0	0
34	2130	13459	352330	697	6014	462	6573	0	0	3777	1029	0	0
