state	county	name	var1	var2	var42	var99	var169	var170	var171	var173	var174	var175	var229	var236	var238	var249	var269	var273
62	50	ARAPAHOE	13766	1174	398870	809190	5088	298	4790	455	77	378	23024	31328	1557	0	0	0
62	70	ARCHULETA	3590	329	168142	121768	2186	326	1860	51	3	48	258	628	1240	0	0	0
62	90	BACA	8721	1706	952472	505719	13442	1636	11806	3164	584	2580	39359	63495	180	0	0	0
62	110	BENT	9705	900	609822	545152	6125	723	5402	1237	296	941	21664	4300	946	0	0	0
62	130	BOULDER	31861	1492	190744	907505	5840	416	5424	371	76	295	8726	20683	5441	0	0	0
62	150	CHAFFEE	7753	247	71544	185552	1507	180	1327	80	5	75	10	1179	1587	0	0	0
62	170	CHEYENNE	3746	625	428432	698297	4646	389	4257	823	259	564	53309	33439	805	0	0	0
62	190	CLEAR CREEK	2891	16	11274	8150	107	9	98	2	0	2	0	0	0	0	0	0
62	210	CONEJOS	8416	680	202470	277314	3323	478	2845	276	21	255	67	5853	1995	0	0	0
62	230	COSTILLA	5032	329	611714	210960	1824	270	1554	113	6	107	32	2675	1279	0	0	0
62	250	CROWLEY	6383	622	193032	244750	3450	287	3163	406	77	329	9320	440	648	0	0	0
62	270	CUSTER	2172	367	220280	199395	2008	149	1859	63	5	58	794	967	2227	0	0	0
62	290	DELTA	13668	1636	173350	730725	6388	453	5935	401	82	319	2774	3299	2436	0	0	0
62	310	DENVER	256491	307	4940	146855	300	1	299	42	7	35	698	308	160	0	0	0
62	330	DOLORES	1243	177	61941	35040	746	83	663	70	9	61	2680	326	77	0	0	0
62	350	DOUGLAS	3517	401	315800	360472	2838	250	2588	111	15	96	14249	5045	2982	0	0	0
62	370	EAGLE	3385	350	111505	293197	2897	245	2652	61	3	58	0	1095	2434	0	0	0
62	390	ELBERT	6980	1281	950970	805820	8216	623	7593	1292	147	1145	48420	22942	4458	0	0	0
62	410	EL PASO	44027	1580	910276	819442	7538	552	6986	1762	166	1596	54553	3908	6371	0	0	0
62	430	FREMONT	17883	1127	334573	353310	2884	197	2687	149	10	139	2952	753	564	0	0	0
62	450	GARFIELD	9304	928	223885	507437	7304	760	6544	288	25	263	1251	5607	2818	0	0	0
62	470	GILPIN	1364	47	19088	9130	142	9	133	1	0	1	0	0	0	0	0	0
62	490	GRAND	2659	269	149761	161235	2116	187	1929	32	0	32	0	64	191	0	0	0
62	510	GUNNISON	5590	358	144489	238013	3245	280	2965	76	12	64	9	195	346	0	0	0
62	530	HINSDALE	538	38	13442	22985	361	59	302	4	0	4	0	0	0	0	0	0
62	550	HUERFANO	16879	1003	444972	260404	4415	463	3952	227	46	181	6595	3246	1672	0	0	0
62	570	JACKSON	1340	156	236377	158606	4490	761	3729	93	28	65	0	0	29	0	0	0
62	590	JEFFERSON	14400	1951	259712	734575	4670	276	4394	195	24	171	4466	9716	2668	0	0	0
62	610	KIOWA	3755	692	478711	373915	4909	505	4404	856	189	667	43431	23239	170	0	0	0
62	630	KIT CARSON	8915	1500	757673	954449	12477	1016	11461	1736	509	1227	103193	97803	4199	0	0	0
62	650	LAKE	6630	27	13526	14295	193	14	179	4	1	3	0	0	0	0	0	0
62	670	LA PLATA	11218	973	268784	298695	5427	575	4852	190	37	153	1586	8344	4707	0	0	0
62	690	LARIMER	27872	1816	572990	1582892	10237	717	9520	759	186	573	11283	22587	8413	0	0	0
62	710	LAS ANIMAS	38975	1943	1177655	444808	11577	1626	9951	1366	304	1062	13448	12269	1590	0	0	0
62	730	LINCOLN	8273	1279	1019885	689612	8914	808	8106	1438	171	1267	69480	56759	2765	0	0	0
62	750	LOGAN	18427	1916	839114	1450900	15556	1108	14448	1473	341	1132	118318	118629	11774	0	0	0
62	770	MESA	22281	2199	261662	981843	8085	791	7294	770	77	693	5676	3401	2114	0	0	0
62	790	MINERAL	779	27	17153	25010	288	52	236	8	0	8	0	0	0	0	0	0
62	810	MOFFAT	5129	712	407003	306480	6252	990	5262	199	65	134	2890	3798	2185	0	0	0
62	830	MONTEZUMA	6260	728	184636	201760	3845	471	3374	389	72	317	4908	4310	2542	0	0	0
62	850	MONTROSE	11852	1423	186776	655901	6953	586	6367	285	39	246	2679	8177	4396	0	0	0
62	870	MORGAN	16124	1692	569888	1172956	12835	881	11954	945	129	816	73537	22524	3161	0	0	0
62	890	OTERO	22623	1419	428531	927872	8145	1075	7070	1302	260	1042	12270	2915	3209	0	0	0
